customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_total,segment,country
12346,326,12,77556.46,2,5,5,255,12,At Risk,United Kingdom
12347,2,8,5633.32,5,4,5,545,14,Champions,Iceland
12348,75,5,2019.4,3,4,4,344,11,Loyal Customers,Finland
12349,19,4,4428.69,5,3,5,535,13,Loyal Customers,Italy
12350,310,1,334.4,2,1,2,212,5,Lost,Norway
12351,375,1,300.93,2,1,2,212,5,Lost,Unspecified
12352,36,10,2849.84,4,5,4,454,13,Champions,Norway
12353,204,2,406.76,2,2,2,222,6,Lost,Bahrain
12354,232,1,1079.4,2,1,3,213,6,Needs Attention,Spain
12355,214,2,947.61,2,2,3,223,7,Needs Attention,Bahrain
12356,23,6,6373.68,4,4,5,445,13,Champions,Portugal
12357,33,3,18287.66,4,3,5,435,12,Loyal Customers,Switzerland
12358,2,5,3887.07,5,4,5,545,14,Champions,Austria
12359,58,10,8935.94,4,5,5,455,14,Champions,Cyprus
12360,52,8,4252.89,4,4,5,445,13,Champions,Austria
12361,287,4,511.25,2,3,2,232,7,Needs Attention,Belgium
12362,3,11,5356.23,5,5,5,555,15,Champions,Belgium
12363,110,2,552.0,3,2,2,322,7,Promising,Unspecified
12364,8,4,1313.1,5,3,4,534,12,Loyal Customers,Belgium
12365,291,2,641.38,2,2,3,223,7,Needs Attention,Cyprus
12366,634,1,500.24,1,1,2,112,4,Lost,Cyprus
12367,4,1,168.9,5,1,1,511,7,New Customers,Denmark
12368,628,1,917.7,1,1,3,113,5,Needs Attention,Cyprus
12369,413,3,1791.1499999999999,1,3,4,134,8,Needs Attention,Austria
12370,51,7,4320.3099999999995,4,4,5,445,13,Champions,Cyprus
12371,45,5,4067.38,4,4,5,445,13,Champions,Switzerland
12372,72,3,1298.04,3,3,4,334,10,Loyal Customers,Denmark
12373,311,3,1127.65,2,3,3,233,8,Needs Attention,Austria
12374,25,4,2989.22,4,3,5,435,12,Loyal Customers,Austria
12375,11,2,457.5,5,2,2,522,9,New Customers,Finland
12376,390,2,503.15,2,2,2,222,6,Lost,Switzerland
12377,315,4,3426.32,2,3,5,235,10,Needs Attention,Switzerland
12378,130,2,5416.32,3,2,5,325,10,Needs Attention,Switzerland
12379,82,4,1620.22,3,3,4,334,10,Loyal Customers,Belgium
12380,22,11,9676.3,4,5,5,455,14,Champions,Belgium
12381,5,5,1845.31,5,4,4,544,13,Champions,Norway
12383,185,5,1850.56,3,4,4,344,11,Loyal Customers,Belgium
12384,29,2,585.27,4,2,2,422,8,New Customers,Switzerland
12385,379,1,1938.4,2,1,4,214,7,Needs Attention,Belgium
12386,338,2,660.8,2,2,3,223,7,Needs Attention,Australia
12387,415,1,143.94,1,1,1,111,3,Lost,Australia
12388,16,8,3901.11,5,4,5,545,14,Champions,Australia
12389,403,3,1433.33,2,3,4,234,9,Needs Attention,Australia
12390,80,1,549.84,3,1,2,312,6,Promising,Belgium
12391,22,6,2773.42,4,4,4,444,12,Champions,Cyprus
12392,591,1,234.75,1,1,1,111,3,Lost,Australia
12393,72,6,2399.45,3,4,4,344,11,Loyal Customers,Australia
12394,64,2,1272.48,3,2,4,324,9,Needs Attention,Belgium
12395,19,15,5067.2699999999995,5,5,5,555,15,Champions,Belgium
12396,674,1,931.43,1,1,3,113,5,Needs Attention,RSA
12397,36,2,2409.9,4,2,4,424,10,New Customers,Belgium
12398,46,1,1635.6599999999999,4,1,4,414,9,New Customers,Switzerland
12399,119,7,1962.3,3,4,4,344,11,Loyal Customers,Belgium
12400,414,1,205.25,1,1,1,111,3,Lost,Australia
12401,303,1,84.3,2,1,1,211,4,Lost,Belgium
12402,323,6,1256.9,2,4,4,244,10,At Risk,Belgium
12403,50,2,1019.36,4,2,3,423,9,New Customers,Denmark
12404,682,1,63.24,1,1,1,111,3,Lost,Finland
12405,149,1,1710.3899999999999,3,1,4,314,8,Needs Attention,Finland
12406,22,5,6390.36,4,4,5,445,13,Champions,Denmark
12407,50,5,1708.12,4,4,4,444,12,Champions,Belgium
12408,33,8,4340.77,4,4,5,445,13,Champions,Belgium
12409,79,7,23419.29,3,4,5,345,12,Loyal Customers,Switzerland
12410,309,3,1013.71,2,3,3,233,8,Needs Attention,Switzerland
12411,410,1,346.9,2,1,2,212,5,Lost,Australia
12412,75,6,2596.93,3,4,4,344,11,Loyal Customers,Denmark
12413,67,4,999.45,3,3,3,333,9,Loyal Customers,France
12414,217,6,952.41,2,4,3,243,9,At Risk,Austria
12415,24,28,144458.37,4,5,5,455,14,Champions,Australia
12416,657,1,202.56,1,1,1,111,3,Lost,Australia
12417,3,20,6816.91,5,5,5,555,15,Champions,Belgium
12418,113,4,2021.2,3,3,4,334,10,Loyal Customers,Switzerland
12419,386,2,503.01,2,2,2,222,6,Lost,Spain
12420,64,1,600.39,3,1,2,312,6,Promising,Cyprus
12421,16,6,1098.6,5,4,3,543,12,Loyal Customers,Spain
12422,96,17,5231.8,3,5,5,355,13,Loyal Customers,Switzerland
12423,1,10,2622.39,5,5,4,554,14,Champions,Belgium
12424,163,4,3340.0299999999997,3,3,5,335,11,Loyal Customers,Australia
12425,78,2,1741.41,3,2,4,324,9,Needs Attention,Portugal
12426,195,2,1345.21,2,2,4,224,8,Needs Attention,Germany
12427,22,3,1129.3,4,3,3,433,10,Loyal Customers,Germany
12428,26,9,7956.46,4,5,5,455,14,Champions,Finland
12429,9,8,7485.91,5,4,5,545,14,Champions,Denmark
12430,43,1,256.4,4,1,1,411,6,New Customers,Norway
12431,36,27,10857.97,4,5,5,455,14,Champions,Australia
12432,43,5,5059.32,4,4,5,445,13,Champions,Norway
12433,1,10,20581.26,5,5,5,555,15,Champions,Norway
12434,85,3,1103.43,3,3,3,333,9,Loyal Customers,Australia
12435,80,6,13925.93,3,4,5,345,12,Loyal Customers,Denmark
12436,100,1,509.01,3,1,2,312,6,Promising,Norway
12437,2,39,12683.4,5,5,5,555,15,Champions,France
12438,14,2,2906.85,5,2,4,524,11,New Customers,Norway
12439,683,2,1158.18,1,2,3,123,6,Needs Attention,Cyprus
12440,462,2,859.2,1,2,3,123,6,Needs Attention,Austria
12441,367,1,347.1,2,1,2,212,5,Lost,France
12442,3,1,172.06,5,1,1,511,7,New Customers,Spain
12443,732,1,485.31,1,1,2,112,4,Lost,Norway
12444,21,5,5005.46,4,4,5,445,13,Champions,Norway
12445,22,2,434.98,4,2,2,422,8,New Customers,Spain
12446,58,1,1002.31,4,1,3,413,8,New Customers,RSA
12447,243,1,476.49,2,1,2,212,5,Lost,Belgium
12448,44,1,449.45,4,1,2,412,7,New Customers,Spain
12449,22,6,4835.89,4,4,5,445,13,Champions,Belgium
12450,156,5,688.2,3,4,3,343,10,Loyal Customers,Spain
12451,11,8,12669.88,5,4,5,545,14,Champions,Switzerland
12452,17,2,430.57,5,2,2,522,9,New Customers,Switzerland
12453,134,1,707.09,3,1,3,313,7,Needs Attention,Austria
12454,56,5,16679.78,4,4,5,445,13,Champions,Spain
12455,73,10,5879.95,3,5,5,355,13,Loyal Customers,Cyprus
12456,44,3,3181.04,4,3,5,435,12,Loyal Customers,Switzerland
12457,66,8,2995.91,3,4,5,345,12,Loyal Customers,Switzerland
12458,71,4,1777.49,3,3,4,334,10,Loyal Customers,Switzerland
12459,605,1,454.36,1,1,2,112,4,Lost,Spain
12460,456,1,326.65,1,1,2,112,4,Lost,Belgium
12461,94,2,826.88,3,2,3,323,8,Needs Attention,Switzerland
12462,19,2,1189.59,5,2,3,523,10,New Customers,Spain
12463,53,4,1344.78,4,3,4,434,11,Loyal Customers,Belgium
12464,10,8,1212.05,5,4,3,543,12,Loyal Customers,Belgium
12465,17,2,742.1899999999999,5,2,3,523,10,New Customers,Belgium
12466,682,1,56.73,1,1,1,111,3,Lost,France
12467,423,1,132.8,1,1,1,111,3,Lost,USA
